"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.210999996E-3,2.341495581E-2,6.340410020E-3,2.266088426E-2,3.319603335E-2
1.324399999E-2,2.197564540E-2,4.730438576E-3,2.475594163E-2,3.343893967E-2
2.327700000E-2,2.199944540E-2,1.464364354E-3,2.251002610E-2,3.150906593E-2
3.331100000E-2,5.267793126E-3,-9.551186941E-3,-2.209545851E-2,2.464110596E-2
4.334400000E-2,1.066863782E-2,5.861091369E-4,-9.870100021E-4,1.073021647E-2
5.337700000E-2,-3.116602488E-3,-4.027740299E-3,1.802579641E-2,1.873139715E-2
6.341000000E-2,-6.548415581E-3,-1.098718659E-2,2.101898611E-2,2.460483271E-2
7.344299999E-2,-2.051299182E-2,-3.196388431E-3,-2.253984690E-2,3.064383185E-2
8.347600000E-2,-2.294601825E-2,9.161514557E-3,-1.280949533E-2,2.783049179E-2
9.350900000E-2,-1.812851555E-2,3.926224869E-3,2.536288261E-2,3.142187347E-2
1.035420000E-1,-1.479055940E-2,-8.914393180E-3,4.437510431E-2,4.761698159E-2
1.135750000E-1,1.742223585E-3,-2.867730372E-3,1.518697321E-2,1.555324326E-2
1.236080000E-1,1.225264854E-2,-9.560847409E-3,-5.320966244E-3,1.642710812E-2
1.336410000E-1,1.484314780E-2,1.247082049E-3,-3.076220155E-3,1.520977911E-2
1.436740000E-1,1.513898036E-2,2.874227405E-3,2.206914604E-2,2.691648410E-2
1.537070000E-1,1.254835320E-2,-2.941580020E-3,3.625273705E-4,1.289362195E-2
1.637400000E-1,9.841521755E-3,-9.158287168E-3,-5.776464343E-3,1.463206461E-2
1.737730000E-1,8.471966805E-3,-5.957063364E-3,2.041789234E-2,2.289434762E-2
1.838060000E-1,-2.046525478E-3,-6.674118155E-3,3.284030199E-2,3.357406074E-2
1.938390000E-1,-1.127803646E-2,-2.594251984E-3,-3.684330583E-3,1.214489776E-2
2.038720000E-1,-1.351395691E-2,-1.360761286E-3,-1.056825757E-2,1.720949653E-2
2.139050000E-1,-2.606332423E-2,-1.726713617E-3,-9.967748523E-3,2.795772560E-2
2.239380000E-1,-1.326776172E-2,-1.382987786E-2,2.236618459E-2,2.945412086E-2
2.339710000E-1,-2.175350603E-2,-6.061793620E-3,1.772700369E-2,2.870900601E-2
2.440040000E-1,3.758663312E-4,-6.870855263E-4,-1.460517526E-2,1.462615829E-2
2.540370000E-1,9.241807563E-3,-7.351225727E-3,-1.730191112E-3,1.193503615E-2
2.640700000E-1,1.055279899E-2,1.899786632E-3,1.877716362E-2,2.162296533E-2
2.741030000E-1,1.841216946E-2,-1.061174738E-2,7.249962687E-3,2.245393341E-2
2.841360000E-1,1.088963516E-2,-5.103602854E-4,-9.846711159E-4,1.094596724E-2
2.941700000E-1,7.565529607E-3,-1.742544497E-3,-6.975728273E-3,1.043716841E-2
3.042030000E-1,4.824939631E-3,-1.824832637E-3,1.397893846E-2,1.490036164E-2
3.142360000E-1,-9.035428260E-3,-1.063853037E-2,2.250768721E-2,2.648420805E-2
3.242690000E-1,-7.657833388E-3,-3.907207714E-3,-6.232547164E-3,1.061853702E-2
3.343020000E-1,-6.851063808E-3,2.164840233E-4,-4.437451959E-3,8.165471237E-3
3.443350000E-1,-1.808202105E-2,-5.122384750E-3,1.157924116E-2,2.207435472E-2
3.543680000E-1,-3.783769794E-3,-9.208878146E-3,2.101255417E-2,2.325183398E-2
