"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.289408400E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.774877200E-2,-3.586553037E-3,-3.593310714E-3,1.077365875E-2,1.190995246E-2
5.260351100E-2,-3.980956972E-3,3.985837102E-3,-7.982254028E-4,5.689646703E-3
5.745819900E-2,5.999371409E-3,-2.392565459E-2,1.196861267E-3,2.469538179E-2
6.231293900E-2,6.698988378E-3,-7.605552673E-3,9.565353394E-4,1.018016879E-2
6.716762600E-2,1.575864851E-3,2.360892296E-2,-7.184028625E-3,2.472801772E-2
7.202236600E-2,-4.821710289E-3,7.919371128E-3,-2.052211761E-2,2.251938366E-2
7.687710500E-2,-1.889972761E-2,1.323540509E-2,8.974075317E-4,2.309071224E-2
8.173179300E-2,6.591312587E-3,9.632855654E-3,-3.458976746E-3,1.217381739E-2
8.658653200E-2,1.605063677E-3,-1.288141310E-2,1.412487030E-2,1.918382115E-2
9.144122000E-2,-2.026958764E-2,-8.324682713E-4,1.719284058E-2,2.659215962E-2
9.629595900E-2,1.001184434E-2,1.459485292E-2,4.787445068E-3,1.833484086E-2
1.011506470E-1,1.590787619E-2,9.047865868E-3,6.628990173E-3,1.946452960E-2
1.060053860E-1,-3.003798425E-3,-4.914149642E-3,3.932952881E-3,6.974223258E-3
1.108601260E-1,3.935910761E-3,-9.059578180E-3,-1.196956635E-2,1.551895192E-2
1.157148140E-1,1.426570117E-3,1.619170606E-2,2.244949341E-3,1.640872466E-2
1.205695530E-1,1.256242394E-2,3.968834877E-3,8.872985840E-3,1.588382899E-2
1.254242410E-1,-1.720659435E-3,1.276065409E-2,-5.186080933E-3,1.388129667E-2
1.302789800E-1,1.198799908E-2,-2.874119580E-2,-4.913330078E-3,3.152632662E-2
1.351336680E-1,-1.364845783E-2,-4.564538598E-3,-9.216308594E-3,1.708963890E-2
1.399884070E-1,2.943351865E-3,-6.631642580E-3,-4.217147827E-3,8.392040235E-3
1.448431470E-1,-1.320699602E-2,-1.090465486E-2,2.830505371E-3,1.735937793E-2
1.496978340E-1,-3.436297178E-3,-5.826383829E-3,-4.163742065E-3,7.943024286E-3
1.545525740E-1,-3.283485770E-3,-1.703184098E-2,-1.696586609E-3,1.742823262E-2
1.594072610E-1,3.751695156E-3,6.600469351E-3,6.694793701E-4,7.621654336E-3
1.642620010E-1,-3.318019211E-3,1.710176468E-3,-3.958702087E-3,5.441073171E-3
1.691166890E-1,-1.932426170E-2,1.086436212E-2,-6.117820740E-3,2.299759085E-2
1.739714280E-1,9.078316391E-3,-5.659908056E-3,7.951736450E-3,1.332968493E-2
1.788261680E-1,-5.286857486E-4,3.777265549E-3,3.055572510E-3,4.887102107E-3
1.836808550E-1,6.412766874E-3,5.961239338E-3,1.221084595E-2,1.502546878E-2
1.885355950E-1,-7.657594979E-3,-8.108317852E-3,-2.085685730E-3,1.134608585E-2
1.933902820E-1,-4.519373178E-4,8.376061916E-3,-6.659507751E-3,1.071035499E-2
1.982450220E-1,-1.665212587E-2,1.972602308E-2,-6.457328796E-3,2.661026827E-2
2.030997090E-1,-2.080161870E-2,-3.892152011E-2,7.674217224E-3,4.479381295E-2
2.079544490E-1,5.383901298E-3,-2.851068228E-2,-6.499290466E-3,2.973358663E-2
2.128091890E-1,-1.803184673E-2,1.417334378E-2,-1.663208008E-3,2.299559591E-2
2.176638760E-1,-3.616280854E-3,-2.462580800E-3,5.370140076E-3,6.926773841E-3
2.225186160E-1,1.271979511E-2,1.161313057E-2,5.664825439E-4,1.723307551E-2
2.273733030E-1,3.072187304E-3,6.674095988E-3,-8.778572083E-3,1.144749841E-2
2.322280430E-1,1.464738697E-2,4.168555140E-3,-6.225585938E-3,1.645237725E-2
2.370827300E-1,2.861097455E-4,-6.094574928E-4,-6.073951721E-3,6.111152652E-3
2.419374700E-1,-2.076640725E-3,-4.500447214E-2,-8.266448975E-3,4.580446624E-2
2.467921570E-1,-2.047613263E-3,-2.762202173E-2,-1.041126251E-2,2.958991706E-2
2.516468970E-1,-2.020351589E-3,-5.970180035E-3,1.523971558E-3,6.484393533E-3
2.565016360E-1,-6.618738174E-3,-1.160398126E-3,3.831863403E-3,7.735463527E-3
2.613563240E-1,-1.114995778E-2,-5.823522806E-3,1.405715942E-3,1.265744894E-2
2.662110640E-1,-3.960780799E-3,-3.331750631E-3,-9.670257568E-4,5.265309642E-3
2.710657510E-1,5.536355078E-3,6.110310555E-3,-9.469985962E-4,8.299634267E-3
2.759204910E-1,1.012327522E-2,-3.428578377E-3,-9.279251099E-4,1.072832214E-2
2.807752300E-1,-4.147067666E-3,-1.040311158E-2,-7.947921753E-3,1.373289339E-2
2.856299180E-1,2.955965698E-3,1.532390714E-3,1.333236694E-2,1.374183259E-2
2.904846570E-1,5.257017910E-3,1.469433308E-3,6.031036377E-3,8.134425077E-3
2.953393450E-1,-4.228025675E-3,-2.672135085E-2,1.218795776E-3,2.708121591E-2
3.001940840E-1,-6.518453360E-3,-2.855218947E-2,-1.152992249E-3,2.930950612E-2
3.050487720E-1,-6.390489638E-3,4.899248481E-3,-1.053333282E-2,1.325866109E-2
3.099035110E-1,3.167279065E-3,-2.246767282E-3,1.551914215E-2,1.599760585E-2
3.147581990E-1,-1.569562033E-2,-1.394348592E-2,-3.569602966E-3,2.129590013E-2
3.196129390E-1,-1.269392669E-3,-4.267662764E-3,1.195907593E-3,4.610260099E-3
3.244676780E-1,-8.299380541E-3,-8.906632662E-3,-5.885124207E-3,1.352192700E-2
3.293223660E-1,5.973570049E-3,-8.762672544E-3,1.275062561E-3,1.068146777E-2
3.341771050E-1,1.059520990E-2,1.498246193E-2,-3.456115723E-3,1.867290481E-2
3.390317930E-1,1.749981940E-2,-4.078447819E-3,-1.046657562E-2,2.079487006E-2
3.438865320E-1,1.720222831E-2,-2.283787727E-2,1.479148865E-3,2.862993501E-2
3.487412720E-1,-1.130890846E-2,-1.246213913E-3,-3.257751465E-3,1.183458509E-2
3.535959590E-1,-8.796676993E-3,-3.531247377E-3,-3.208160400E-3,1.000717379E-2
3.584506990E-1,-1.581266522E-3,-5.781814456E-3,-2.438163757E-2,2.510764889E-2
