"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.994541666E-3,-2.497042481E-2,-1.920930941E-2,1.294515073E-2,3.406019099E-2
1.802754167E-2,-3.551096292E-2,-1.442966514E-2,7.109044790E-3,3.898438459E-2
2.806154167E-2,-3.442757436E-2,-1.255921623E-2,-5.168353915E-3,3.700950784E-2
3.809454167E-2,-2.794541504E-2,-3.507342674E-3,-2.030737996E-3,2.823776853E-2
4.812754167E-2,-1.808021206E-2,4.127881861E-3,-6.828963161E-3,1.976279876E-2
5.816054167E-2,-1.027853717E-2,1.808893721E-2,2.142419815E-3,2.091525611E-2
6.819354167E-2,-6.734649399E-3,2.430707647E-2,-4.305304885E-3,2.558759698E-2
7.822654167E-2,-1.449225090E-2,2.331468977E-2,-1.105182230E-2,2.959295307E-2
8.825954167E-2,-8.700072169E-3,1.124236502E-2,6.002751589E-3,1.543097708E-2
9.829254167E-2,-2.458760577E-2,6.297510643E-3,2.260825932E-2,3.399032785E-2
1.083255417E-1,-2.161737554E-2,-8.023624693E-3,1.750890255E-2,2.895256719E-2
1.183585417E-1,-6.318327645E-3,-1.446355958E-2,1.121145129E-2,1.936007386E-2
1.283915417E-1,-1.383419246E-2,-1.653790044E-2,1.024432182E-3,2.158556215E-2
1.384245417E-1,-2.031615992E-2,-2.554355473E-2,-7.065190673E-3,3.339365900E-2
1.484585417E-1,-9.498737874E-3,-1.725010730E-2,-9.167849422E-3,2.172191718E-2
1.584915417E-1,-1.959685190E-2,-3.908041399E-6,-6.929535270E-3,2.078593463E-2
1.685245417E-1,-1.887258288E-2,6.020697516E-3,1.925955892E-2,2.762885797E-2
1.785575417E-1,-2.655823622E-3,1.252190368E-3,1.641664267E-2,1.667715612E-2
1.885905417E-1,-3.932074369E-3,9.262573173E-3,1.313460052E-2,1.654612346E-2
1.986235417E-1,-5.763582196E-3,3.013915788E-2,3.893660903E-3,3.093134838E-2
2.086565417E-1,7.420842997E-3,2.065609557E-2,8.991263509E-3,2.371889572E-2
2.186895417E-1,9.801080036E-3,2.466470451E-2,-8.876073360E-4,2.655553926E-2
2.287225417E-1,1.002299557E-2,1.935574790E-2,-3.421790600E-3,2.206386339E-2
2.387555417E-1,1.258446432E-2,9.760668010E-3,5.697526932E-3,1.691452617E-2
2.487885417E-1,2.490699166E-3,2.527710213E-4,-1.647745371E-3,2.997088642E-3
2.588215417E-1,2.855802965E-3,-3.492464251E-3,-6.081104279E-4,4.552220932E-3
2.688545417E-1,1.319413248E-2,-1.290035101E-2,-6.452987194E-3,1.954853529E-2
2.788875417E-1,-3.500175267E-3,-1.622027443E-2,-1.094891131E-2,1.988032164E-2
2.889205417E-1,-2.718662918E-3,5.557247432E-3,-4.507033825E-3,7.654245944E-3
2.989535417E-1,1.182503435E-2,1.841887434E-2,2.983249426E-3,2.209040847E-2
3.089865417E-1,1.993805063E-2,-9.069676726E-3,-4.645028114E-3,2.239109611E-2
3.190195417E-1,-8.948341291E-4,5.524435644E-3,-1.795095205E-3,5.877285436E-3
3.290535417E-1,1.281927571E-2,4.483024838E-3,-1.793925762E-3,1.369852222E-2
3.390865417E-1,1.029244258E-2,1.287138560E-2,2.846424580E-3,1.672450520E-2
3.491195417E-1,9.731680895E-3,1.841195133E-2,2.402036190E-3,2.096366721E-2
3.591525417E-1,5.887502055E-3,9.229158391E-3,-7.425963879E-4,1.097230579E-2
3.691855417E-1,-2.544689979E-3,1.857537073E-3,2.021265507E-2,2.045671811E-2
3.792185417E-1,9.344019634E-3,-1.106240097E-2,4.648536444E-3,1.520842889E-2
3.892515417E-1,6.611190923E-3,-2.406661429E-3,-2.976817489E-3,7.639457246E-3
3.992845417E-1,4.890053859E-3,-1.127727130E-2,-2.976817489E-3,1.264717032E-2
4.093175417E-1,-1.134579107E-2,-1.113148719E-2,-2.783274651E-4,1.589699495E-2
4.193505417E-1,-2.057973230E-3,-8.931895997E-3,8.704165220E-3,1.264027342E-2
4.293835417E-1,1.860410431E-3,-2.741259208E-3,-1.025601625E-3,3.468066856E-3
4.394165417E-1,1.829849593E-3,4.500496821E-3,1.379416645E-2,1.462469997E-2
4.494495417E-1,-3.796396125E-3,2.367940756E-3,6.906731129E-3,8.229380405E-3
4.594825417E-1,1.027140174E-2,6.132920659E-3,1.559160054E-2,1.965228783E-2
4.695155417E-1,-2.478634715E-3,1.043612991E-2,9.307597876E-3,1.420168355E-2
4.795485417E-1,-1.076370075E-2,1.317537457E-2,2.575113773E-3,1.720694511E-2
4.895815417E-1,-1.385488613E-3,4.729783048E-3,5.567718744E-3,7.435719091E-3
4.996155417E-1,-2.285777098E-3,3.574095721E-3,-1.316792965E-3,4.442170739E-3
5.096485417E-1,1.049623632E-2,1.932485359E-3,-6.403870583E-3,1.244648685E-2
5.196815417E-1,1.046372945E-2,-2.500940929E-4,9.314614534E-4,1.050808268E-2
5.297145417E-1,1.085934841E-2,-7.198815539E-3,-5.805115700E-3,1.426351154E-2
5.397475417E-1,1.807049107E-2,-6.677167387E-3,3.332912922E-5,1.926469108E-2
5.497805417E-1,-1.544797830E-3,-3.995419586E-3,6.317916512E-3,7.633206866E-3
5.598135417E-1,1.061406685E-2,-5.333656529E-3,-3.865594268E-3,1.249196246E-2
5.698465417E-1,1.950209959E-2,6.533268780E-3,6.311484575E-3,2.151395656E-2
5.798795417E-1,6.211515460E-3,6.715744163E-4,9.303504825E-3,1.120665599E-2
5.899125417E-1,-3.609504495E-3,-6.696460914E-3,1.693879902E-2,1.856863010E-2
5.999455417E-1,6.814610073E-3,1.851981533E-2,1.672303677E-3,1.980452145E-2
6.099787917E-1,2.018367480E-3,3.144041004E-3,2.592421532E-2,2.619205492E-2
6.200117917E-1,-1.051786188E-3,1.005707959E-2,2.293628812E-2,2.506640015E-2
6.300447917E-1,-7.472814694E-3,3.779645908E-3,1.066415191E-2,1.355923370E-2
6.400777917E-1,-8.854840659E-3,9.185439034E-4,4.034578800E-5,8.902446505E-3
6.501107917E-1,-5.813502800E-4,-7.261713078E-3,3.187901974E-3,7.951928318E-3
6.601447917E-1,1.222231611E-2,-1.244510416E-2,-4.894704223E-3,1.811694671E-2
6.701777917E-1,7.711445047E-3,1.817340892E-3,1.591027379E-2,1.777374256E-2
6.802107917E-1,6.223018030E-3,3.150437538E-3,6.178752780E-3,9.318164841E-3
6.902437917E-1,1.754868189E-3,9.170797012E-3,1.231423616E-2,1.545391512E-2
7.002767917E-1,2.653987231E-3,-2.699926703E-3,7.523027658E-3,8.421947374E-3
7.103097917E-1,1.040676478E-3,1.285510361E-3,2.713049591E-2,2.718086372E-2
7.203427917E-1,-7.062029522E-3,-4.042390315E-3,1.665228546E-2,1.853407110E-2
7.303757917E-1,-1.718030730E-3,8.668090641E-3,1.126524568E-2,1.431758307E-2
7.404087917E-1,6.402701139E-4,1.666269967E-2,4.683035016E-3,1.732011325E-2
7.504417917E-1,-6.793916412E-4,1.526337417E-2,9.026346803E-3,1.774562201E-2
7.604747917E-1,-3.501486322E-3,2.121108313E-2,-4.034578800E-4,2.150193555E-2
7.705077917E-1,4.804766737E-4,1.323729910E-2,-4.595326781E-3,1.402048407E-2
7.805407917E-1,3.537556333E-3,-1.504401793E-5,6.331949830E-3,7.253145510E-3
7.905737917E-1,4.199716961E-3,1.343139125E-2,1.965366125E-2,2.417242839E-2
8.006067917E-1,-7.461485714E-3,-9.502159408E-3,1.411517859E-2,1.857964125E-2
8.106407917E-1,-8.103299858E-3,5.039664921E-3,-1.052498817E-4,9.543205365E-3
8.206737917E-1,-3.024673294E-3,-1.308492545E-2,1.007358313E-2,1.678812079E-2
8.307067917E-1,-5.806266870E-3,-1.544543499E-2,1.486420691E-2,2.220853089E-2
8.407397917E-1,-6.658142237E-3,-4.895710355E-3,1.097113073E-2,1.373552137E-2
8.507727917E-1,-2.962436993E-4,-3.656975435E-3,1.246801794E-2,1.299664191E-2
8.608057917E-1,1.258635096E-2,1.060818652E-2,4.536269903E-3,1.707417923E-2
8.708387917E-1,-1.007082397E-3,1.091569524E-2,5.434986949E-3,1.223542810E-2
8.808717917E-1,-4.804885508E-3,4.913556925E-3,4.560828209E-5,6.872557495E-3
8.909047917E-1,-2.441888619E-3,6.782201424E-3,2.738835812E-3,7.711180051E-3
9.009377917E-1,-6.113090375E-3,5.324149093E-3,-3.847467899E-3,8.973262882E-3
9.109707917E-1,4.532816391E-3,7.339951565E-3,-4.148014784E-3,9.572217092E-3
9.210037917E-1,-1.847793236E-3,1.437199698E-2,7.905435562E-4,1.451184330E-2
9.310367917E-1,-6.116151027E-3,1.187493896E-2,1.186575472E-2,1.786666208E-2
9.410697917E-1,-2.101598941E-3,8.408103104E-3,1.231482089E-2,1.505880903E-2
9.511027917E-1,-8.072446659E-3,-3.592761130E-3,1.141610384E-2,1.443605744E-2
9.611357917E-1,-3.643007213E-3,-3.737757232E-3,1.051680207E-2,1.174076047E-2
9.711697917E-1,2.596118068E-3,-1.135679343E-2,-2.655220628E-3,1.194850546E-2
9.812027917E-1,3.041356131E-3,-3.213604598E-3,-2.607858181E-4,4.432280550E-3
9.912357917E-1,3.924897825E-3,-1.463749711E-2,1.470984042E-2,2.111967210E-2
1.001268792E0,-4.994956562E-3,4.866208183E-6,-7.893156409E-3,9.340852897E-3
1.011301792E0,-6.083479710E-4,7.507725541E-3,-9.390628338E-3,1.203826942E-2
1.021334792E0,-6.195691433E-3,2.830223681E-4,-1.253467619E-2,1.398516361E-2
1.031367792E0,3.963032635E-3,8.343136199E-3,-2.057635188E-3,9.462949427E-3
1.041400792E0,-2.437722478E-3,4.221429317E-3,-1.128512621E-4,4.876032380E-3
1.051433792E0,4.655598784E-3,-3.969963641E-3,1.081559479E-2,1.242627467E-2
1.061466792E0,-4.761022255E-3,-7.120412600E-4,1.141551912E-2,1.238904405E-2
1.071499792E0,-3.745954754E-3,1.835627145E-3,5.429724455E-3,6.847160849E-3
1.081532792E0,-5.545133874E-3,5.302942658E-3,6.628403664E-3,1.013930203E-2
1.091565792E0,-3.774204114E-3,-8.073955287E-3,1.665871739E-2,1.889302082E-2
1.101598792E0,-8.893432282E-4,-1.030210191E-2,7.378601432E-3,1.270307027E-2
1.111631792E0,-7.013415406E-3,-6.105430751E-3,-1.751825809E-3,9.462197101E-3
1.121664792E0,-1.839862950E-4,-4.609847747E-3,7.934671640E-4,4.681253823E-3
1.131698792E0,-7.468867823E-3,3.825715572E-3,-1.387485802E-2,1.621517102E-2
1.141731792E0,1.724499213E-3,1.496512848E-2,1.952970028E-4,1.506542761E-2
1.151764792E0,3.324461868E-3,3.059736032E-3,1.092844605E-3,4.648477237E-3
1.161797792E0,7.484006630E-3,1.559954681E-2,8.577280641E-3,1.931129098E-2
1.171830792E0,3.290237384E-3,5.748888783E-3,1.007592201E-2,1.205817518E-2
1.181863792E0,3.104880648E-3,1.010743074E-2,1.531795084E-2,1.861290031E-2
1.191896792E0,-5.822255351E-3,4.211449079E-3,1.098282516E-2,1.312468701E-2
1.201929792E0,-5.235779621E-3,2.287150965E-3,1.398712456E-2,1.510907348E-2
1.211962792E0,-1.607765034E-3,-4.693772423E-3,1.639676213E-2,1.713097243E-2
1.221995792E0,-2.453760294E-2,-2.465689528E-2,2.420396447E-2,4.237792278E-2
1.232028792E0,-7.932003848E-3,-5.691118977E-3,2.542427838E-2,2.723415964E-2
1.242061792E0,7.399423001E-3,-5.680004699E-3,1.944023788E-2,2.156239233E-2
1.252094792E0,-2.493578006E-2,6.193644907E-3,2.872620106E-2,3.854022563E-2
1.262127792E0,-3.021420781E-3,3.200939437E-4,8.966120481E-3,9.466929817E-3
1.272160792E0,-2.341480049E-2,1.557459679E-2,4.176081419E-3,2.842992443E-2
1.282193792E0,-1.587226689E-2,3.691550524E-3,-3.157496452E-4,1.629896007E-2
1.292227792E0,-1.978792794E-2,4.048566436E-3,-5.045971692E-2,5.435196421E-2
1.302260792E0,-1.463121364E-2,1.443900698E-2,-1.263425428E-1,1.280038884E-1
1.312293792E0,9.010111643E-3,8.229249112E-3,6.721374393E-2,6.831244415E-2
1.322326792E0,5.872733267E-3,-2.498451294E-3,5.300617933E-2,5.338900919E-2
1.332359792E0,3.040159279E-3,3.148074669E-3,-3.336011946E-2,3.364595835E-2
1.342392792E0,3.363028823E-2,-1.533373147E-2,1.350449538E-1,1.400116394E-1
1.352425792E0,2.745454129E-2,-1.671865135E-3,-9.159195542E-2,9.563280435E-2
1.362458792E0,8.561283024E-3,-2.186691232E-2,4.896750748E-2,5.430722061E-2
1.372491792E0,3.442571970E-2,-2.944292808E-2,5.928491950E-2,7.461044076E-2
1.382524792E0,-4.794012428E-2,-1.335038448E-2,-1.337954038E-1,1.427504759E-1
1.392557792E0,5.181150181E-2,-1.824650939E-2,1.342918324E-1,1.450919125E-1
1.402590792E0,-6.132596321E-2,-1.417117253E-3,-1.658147568E-1,1.767976684E-1
1.412623792E0,4.566303578E-2,8.340299386E-4,1.175477457E-1,1.261082113E-1
1.422656792E0,-2.717530933E-2,1.467626575E-2,-1.492150962E-2,3.430075310E-2
1.432689792E0,3.681943274E-2,2.749430007E-2,-3.767770350E-2,5.942403979E-2
1.442722792E0,-1.398705147E-2,1.138427306E-2,4.808399320E-2,5.135474354E-2
1.452756792E0,9.548210800E-3,1.346498990E-2,-3.184802949E-2,3.587159413E-2
1.462789792E0,-1.147903450E-2,-2.066094236E-3,-2.364614010E-3,1.190077215E-2
1.472822792E0,-8.636702970E-4,-8.934116112E-3,5.003228545E-2,5.083103328E-2
1.482855792E0,-6.809585122E-3,-2.422725284E-3,-9.276549160E-2,9.304663605E-2
1.492888792E0,-4.014022183E-3,-1.501455573E-2,7.624126017E-2,7.780924759E-2
1.502921792E0,5.238008872E-3,-4.855806534E-3,-2.644344807E-2,2.739108504E-2
1.512954792E0,9.636220532E-3,-5.717880267E-3,-4.140413404E-3,1.194545621E-2
1.522987792E0,1.992351939E-2,-3.946820316E-3,7.234526038E-2,7.514226983E-2
1.533020792E0,9.739140663E-3,6.309865171E-4,-7.435553312E-2,7.499329511E-2
1.543053792E0,-1.712987507E-3,-1.374786723E-2,5.616893828E-2,5.785229301E-2
1.553086792E0,-5.494674230E-3,2.357193071E-3,-1.717970431E-2,1.819038329E-2
1.563119792E0,-2.468075009E-2,5.161499425E-3,-5.130054653E-2,5.716228280E-2
1.573152792E0,1.727331458E-2,-2.841061587E-4,8.656627357E-2,8.827325661E-2
1.583185792E0,-1.996444076E-2,1.514992105E-2,-7.404387653E-2,7.817029266E-2
1.593218792E0,2.179527707E-2,-1.057612847E-3,9.016640425E-2,9.276924653E-2
1.603252792E0,1.486791624E-3,3.438565942E-3,6.036080718E-3,7.104122430E-3
1.613288292E0,2.221911798E-2,5.483756382E-3,-2.809470177E-2,3.623634992E-2
1.623321292E0,5.285709361E-3,1.501003099E-3,5.197823882E-2,5.226785862E-2
1.633354292E0,-7.480872888E-3,-3.663964685E-3,-6.956432462E-2,7.006128286E-2
1.643387292E0,1.055907561E-2,-1.137878102E-2,4.704084992E-2,4.953596973E-2
1.653420292E0,-7.604358774E-3,1.232019758E-3,1.545419097E-3,7.857001033E-3
1.663453292E0,1.056565373E-2,-2.020211866E-3,-2.045648396E-2,2.311237830E-2
1.673486292E0,-1.963376245E-3,-3.535581756E-3,5.094912887E-2,5.110938189E-2
1.683519292E0,-4.370903336E-3,4.687822424E-3,-2.105582356E-2,2.200972924E-2
1.693552292E0,-2.251532514E-2,2.330416935E-2,1.247035682E-2,3.472080031E-2
1.703585292E0,7.495189430E-3,5.736288718E-3,4.299983919E-2,4.402350557E-2
1.713618292E0,-4.861539546E-3,1.920434613E-2,-7.061448455E-2,7.334062247E-2
1.723651292E0,1.306582265E-2,-1.098655276E-3,5.542224884E-2,5.695215915E-2
1.733684292E0,-1.552663249E-2,1.584638839E-2,-3.169073939E-2,3.868445818E-2
1.743717292E0,-5.708682323E-3,7.688226347E-3,8.731647134E-3,1.295914889E-2
1.753750292E0,-1.177145010E-3,-4.704633169E-3,4.825531662E-2,4.849840023E-2
1.763783292E0,-3.335918756E-3,2.700743257E-3,-4.470196366E-2,4.490754862E-2
1.773817292E0,5.468571894E-3,-1.169387057E-2,5.244426191E-2,5.400974444E-2
1.783850292E0,8.494661311E-3,-3.414544392E-3,-3.694855571E-3,9.872706917E-3
1.793883292E0,6.079870882E-3,-1.430672058E-3,-2.689777672E-2,2.761343957E-2
1.803916292E0,2.574921912E-2,3.950774039E-3,3.955699861E-2,4.736440689E-2
1.813949292E0,-1.435569101E-2,1.147084154E-2,-5.638762414E-2,5.930624104E-2
1.823982292E0,8.750157226E-3,1.740923950E-3,4.914409339E-2,4.994735211E-2
1.834015292E0,-8.824526500E-3,6.053821079E-4,-1.626169145E-2,1.851165482E-2
1.844048292E0,7.255270863E-3,5.043973817E-3,-1.745803177E-2,1.956689808E-2
1.854081292E0,-1.459580144E-2,8.706425306E-3,2.370461226E-2,2.916758309E-2
1.864114292E0,-3.466028441E-3,1.892666848E-2,-1.761415243E-2,2.608621281E-2
1.874147292E0,-1.407384608E-2,-5.895466602E-4,2.593883336E-2,2.951683900E-2
1.884180292E0,-1.566240666E-3,-5.319654046E-3,7.373338938E-3,9.225939307E-3
1.894213292E0,-1.379890817E-2,1.535663840E-3,-4.606436491E-2,4.811126526E-2
1.904246292E0,3.934865501E-3,1.268875489E-3,5.572630405E-2,5.587946112E-2
1.914279292E0,-1.045498604E-2,-7.081778721E-3,-2.988921225E-2,3.244723920E-2
1.924313292E0,-3.879052000E-3,-7.239653544E-3,2.669780195E-2,2.793263784E-2
1.934346292E0,1.299699909E-2,4.609034619E-3,1.592021406E-2,2.106225062E-2
1.944379292E0,9.854769353E-3,5.015352153E-3,-2.120551229E-2,2.391535046E-2
1.954412292E0,-7.740982622E-4,-2.564120551E-3,3.776716590E-2,3.786202269E-2
1.964445292E0,-1.256996049E-3,5.389001796E-3,-2.256148160E-2,2.323019223E-2
1.974478292E0,2.302231528E-3,1.109845385E-2,-1.432977140E-2,1.827069501E-2
1.984511292E0,1.534792696E-2,6.627388395E-3,2.713517368E-2,3.187159848E-2
1.994544292E0,-1.389608159E-2,-3.345589503E-4,-3.587734580E-2,3.847592695E-2
2.004577292E0,4.767308012E-3,1.573437767E-3,4.959842205E-2,4.985184452E-2
2.014610292E0,-1.950801990E-2,-7.241915914E-3,-2.898464799E-2,3.568077922E-2
2.024643292E0,1.229801014E-2,-6.578323175E-4,6.640682817E-3,1.399187139E-2
2.034676292E0,-3.274111860E-3,9.759970227E-3,2.878993571E-2,3.057510794E-2
2.044709292E0,8.240005933E-5,-4.771736821E-3,-1.028232872E-2,1.133589635E-2
2.054742292E0,-9.633205561E-3,-1.132086617E-2,1.860291660E-2,2.381237423E-2
2.064775292E0,-6.405515112E-3,-8.684316664E-3,-5.496382713E-3,1.211025197E-2
2.074808292E0,-7.345637754E-3,-2.648893758E-3,-1.881692469E-2,2.037281736E-2
2.084842292E0,-9.948489256E-5,-9.953811136E-4,3.836942911E-2,3.838246698E-2
2.094875292E0,-3.208750952E-4,7.567047371E-3,-3.901554644E-2,3.974388042E-2
2.104908292E0,1.008018865E-2,-1.997558473E-3,2.670014083E-2,2.860940341E-2
2.114941292E0,1.205076428E-2,9.023472302E-3,1.038056195E-2,1.828660817E-2
2.124974292E0,-5.508625321E-3,-2.727722676E-3,-1.551967978E-2,1.669268955E-2
2.135007292E0,5.269410247E-3,2.121854061E-3,3.357237339E-2,3.404956981E-2
2.145040292E0,-7.456296310E-4,-5.078840124E-3,-3.393840909E-2,3.432442559E-2
2.155073292E0,8.817966655E-4,-1.813688666E-3,6.478714943E-3,6.785335603E-3
2.165106292E0,-1.514893890E-2,-1.257426596E-2,3.639307022E-3,2.002116555E-2
2.175139292E0,-9.841092350E-3,-4.531227822E-3,-1.416780353E-2,1.783552020E-2
2.185172292E0,2.180846985E-3,2.186391562E-3,4.077029586E-2,4.088708141E-2
2.195205292E0,-3.363519441E-3,-1.518736151E-2,-1.027472734E-2,1.864240421E-2
2.205238292E0,-3.657935886E-3,-5.023472017E-3,1.606697917E-2,1.722682750E-2
2.215271292E0,-1.022479760E-2,8.797116535E-3,1.770887733E-2,2.226072958E-2
2.225304292E0,-4.877043804E-3,6.394214683E-3,-4.126964808E-2,4.204587245E-2
2.235337292E0,-3.903052993E-3,1.106275272E-2,1.022093296E-2,1.555910637E-2
2.245371292E0,-1.370943664E-3,1.508541667E-3,-1.028291345E-2,1.048300975E-2
2.255404292E0,-1.202306310E-2,8.131341368E-4,1.232300699E-2,1.723576905E-2
2.265437292E0,-7.200946575E-3,8.310614488E-3,2.085935712E-2,2.358034614E-2
2.275470292E0,1.304155670E-2,-3.867527732E-3,-1.162309527E-2,1.789235355E-2
2.285503292E0,3.918548115E-4,-3.370092991E-3,3.477806926E-2,3.494317070E-2
2.295536292E0,1.386055975E-2,-6.865383777E-3,1.246977210E-2,1.986816114E-2
2.305569292E0,-1.454928867E-2,-1.071984321E-2,-6.693892479E-3,1.927187162E-2
2.315602292E0,2.972916299E-3,-7.164213042E-3,1.770244539E-2,1.932720240E-2
2.325635292E0,-2.167736432E-3,-6.401291869E-3,-2.525646329E-2,2.614506754E-2
2.335668292E0,5.823205523E-3,-5.249796950E-3,2.234688878E-2,2.368234635E-2
2.345701292E0,6.728984909E-3,1.065152558E-3,-7.004964352E-4,6.848684774E-3
2.355734292E0,1.057615131E-4,3.034449108E-3,-1.102550983E-2,1.143594920E-2
2.365767292E0,-5.069718696E-4,1.679388857E-3,1.966067791E-2,1.973878475E-2
2.375800292E0,-3.831479419E-4,-2.534740577E-3,-6.687460542E-3,7.161971840E-3
2.385834292E0,7.846305594E-3,3.643802069E-3,1.621023595E-2,1.837426338E-2
2.395867292E0,-8.291242160E-3,1.695168231E-2,1.291416049E-2,2.286656448E-2
2.405900292E0,7.373923659E-3,2.716542160E-3,-1.672362149E-2,1.847792919E-2
2.415933292E0,7.485605478E-3,4.951434777E-3,1.426369786E-2,1.685242037E-2
2.425966292E0,-9.082416119E-3,-4.058189217E-3,-1.746446371E-2,2.009892223E-2
2.435999292E0,6.256749155E-3,-7.232596914E-3,4.093050957E-3,1.040242444E-2
2.446032292E0,7.354618711E-3,-3.644817338E-3,8.883674741E-3,1.209523818E-2
2.456065292E0,7.273068326E-3,-5.593597242E-3,2.744683027E-3,9.577010906E-3
2.466098292E0,2.074071346E-3,-6.049225533E-3,1.381814003E-2,1.522615826E-2
2.476131292E0,-4.297721777E-3,6.128303414E-3,-1.133482754E-2,1.358325552E-2
2.486164292E0,-1.510509392E-2,-6.960109812E-3,-3.702456951E-3,1.703863781E-2
2.496197292E0,2.154068565E-3,-3.407715027E-3,1.979984164E-2,2.020609468E-2
2.506230292E0,-1.233539578E-2,1.404554304E-2,-3.398986459E-3,1.899979940E-2
2.516263292E0,-7.654736191E-3,4.475145943E-3,2.190250039E-2,2.362924969E-2
2.526296292E0,-5.877950080E-3,2.439821537E-3,-1.117578328E-2,1.286083816E-2
2.536329292E0,7.280514389E-4,2.163810118E-3,6.489239931E-3,6.879125526E-3
